Source	Target	Freq
грызун	животное	60
результат	образ	38
мясо	продукт	1196
мясо	пища	168
мясо	сочетание	98
мясо	товар	66
мясо	блюдо	48
мясо	продукция	40
мясо	еда	32
мясо	питание	32
гоблин	существо	52
постройка	сооружение	70
интуиция	способность	30
астма	заболевание	262
астма	болезнь	124
желание	чувство	114
желание	эмоция	58
желание	мелочь	42
писатель	человек	106
писатель	профессия	38
писатель	личность	32
клетчатка	вещество	54
цель	обстоятельство	44
мошка	насекомое	36
интеллигенция	слой	30
муха	насекомое	248
муха	существо	60
религия	наука	94
религия	институт	34
связь	оборудование	38
связь	проблема	32
дружба	чувство	128
дружба	слово	78
дружба	ценность	62
куб	фигура	40
пушка	оружие	92
пушка	техника	50
пушка	орудие	34
пушка	снаряжение	30
мука	продукт	454
мука	товар	82
начальник	человек	36
добрый	ценность	34
смерть	событие	182
смерть	мелочь	88
смерть	дело	44
смерть	проблема	38
смерть	факт	34
смерть	несчастье	32
полководец	человек	36
власть	ценность	46
мозг	орган	532
мозг	система	50
мозг	ткань	44
мозг	структура	34
рука	орган	80
рука	нога	44
рука	член	34
рука	тело	34
задаток	способ	36
куртка	одежда	40
физик	наука	1248
физик	дисциплина	188
физик	ученый	50
физик	специалист	48
физик	знание	30
серьга	украшение	122
серьга	безделушка	46
быть	причина	244
быть	человек	226
быть	способ	224
быть	дело	86
быть	путь	68
быть	проблема	68
быть	образ	64
быть	сила	60
быть	случай	50
быть	женщина	50
быть	сторона	46
быть	слово	44
быть	мелочь	40
быть	метод	34
быть	наука	32
быть	животное	32
быть	существо	30
быть	чувство	30
металл	материал	390
металл	сырье	88
металл	вещество	76
металл	товар	62
металл	ценность	32
способ	обстоятельство	98
душа	слово	32
душа	сущность	30
душа	материя	30
узел	орган	74
ссылка	жестокость	46
холод	мелочь	64
холод	лишение	42
холод	ощущение	36
холод	сила	32
высота	характеристика	32
ботаник	наука	174
искусство	наука	96
искусство	дисциплина	34
уход	дело	34
пулемет	оружие	152
пулемет	снаряжение	80
пулемет	техника	44
пулемет	трофей	40
художник	человек	84
художник	специалист	36
художник	личность	34
художник	профессия	32
кварц	минерал	82
фонд	организация	42
фонд	институт	34
фонд	учреждение	32
юрист	специалист	62
юрист	человек	36
юрист	профессия	30
исследователь	специалист	30
папоротник	растение	102
чашка	посуда	56
легкий	орган	788
легкий	ткань	42
мех	товар	116
меч	оружие	528
мед	продукт	238
мед	товар	96
мед	напиток	44
мед	сладость	32
мотоцикл	машина	98
мотоцикл	техника	38
центр	организация	36
центр	предприятие	32
рыба	продукт	550
рыба	животное	260
рыба	товар	84
рыба	пища	68
рыба	существо	66
рыба	блюдо	48
рыба	обстановка	34
рыба	создание	30
бумага	материал	178
бумага	товар	100
бумага	мелочь	82
бумага	принадлежность	34
борьба	спорт	130
борьба	дело	44
борьба	состязание	32
обман	грех	34
у	работа	630
у	опыт	626
у	талант	536
у	тело	526
у	способность	472
у	любовь	434
у	фигура	434
у	голова	432
у	голос	416
у	рука	414
у	случай	332
у	репутация	286
у	мозг	284
у	проблема	282
у	рана	274
у	сила	272
у	оружие	272
у	рожа	270
у	кожа	262
у	машина	262
у	отношение	258
у	душа	248
у	положение	246
у	цвет	220
у	нос	212
у	форма	210
у	жена	202
у	красота	202
у	семья	190
у	связь	190
у	одежда	190
у	грудь	186
у	дом	168
у	физиономия	166
у	муж	158
у	отец	158
у	количество	148
у	чувство	144
у	дело	140
у	болезнь	138
у	прическа	130
у	человек	130
у	кровь	128
у	ситуация	126
у	друг	122
у	богатство	122
у	корабль	118
у	темперамент	116
у	слух	112
у	скорость	112
у	фамилия	110
у	профессия	108
у	власть	108
у	зуб	106
у	подготовка	104
у	улыбка	102
у	команда	102
у	травма	100
у	мать	98
у	возраст	98
у	судьба	96
у	мысль	92
у	мускул	90
у	реакция	88
у	свобода	84
у	меч	82
у	палец	82
у	условие	82
у	уровень	80
у	размер	78
у	акцент	74
у	история	74
у	аппетит	74
у	армия	72
у	квартира	72
у	рост	72
у	биография	70
у	нрав	70
у	зарплата	68
у	знание	66
у	техника	66
у	товар	66
у	живот	66
у	образ	66
у	задница	64
у	масштаб	64
у	обстоятельство	64
у	бизнес	64
у	ребенок	62
у	счастье	62
у	мама	62
у	мощь	62
у	защита	62
у	фантазия	60
у	костюм	56
у	номер	54
у	дружба	54
у	бабка	54
у	система	52
у	дать	52
у	воля	52
у	фигурка	52
у	сестра	52
у	охрана	50
у	разум	50
у	причина	50
у	организация	50
у	заболевание	50
у	нож	50
у	шея	50
у	терпение	48
у	повреждение	48
у	успех	48
у	интеллект	48
у	походка	46
у	папа	46
у	документ	46
у	книга	46
у	груз	44
у	происхождение	44
у	телосложение	44
у	аппарат	44
у	ожог	44
у	хозяйство	44
у	сложение	44
у	поведение	44
у	вера	42
у	оборудование	42
у	самообладание	42
у	шрам	42
у	служба	42
у	уж	42
у	бедро	40
у	сон	40
у	клык	40
у	интуиция	40
у	карьера	40
у	квалификация	40
у	легкий	38
у	ж	38
у	коготь	38
у	совесть	38
у	удар	38
у	знакомство	38
у	ножка	38
у	конь	38
у	разговор	38
у	волна	36
у	пушка	36
у	последствие	36
у	цена	36
у	выбор	36
у	животное	36
у	страсть	36
у	учитель	36
у	сын	36
у	сад	36
у	желудок	36
у	слава	36
у	навык	34
у	убеждение	34
у	крыло	34
у	размах	34
у	тачка	34
у	школа	34
у	привычка	34
у	ощущение	34
у	мышца	34
у	амулет	34
у	игрушка	34
у	мастерство	34
у	смех	32
у	прибор	32
у	карта	32
у	мясо	30
у	климат	30
у	замок	30
у	камень	30
у	кулак	30
у	запах	30
у	наследственность	30
у	маг	30
у	лодка	30
у	нога	30
суд	учреждение	104
суд	орган	76
суд	институт	52
суд	организация	42
суп	блюдо	164
пилот	специалист	38
капитан	человек	150
река	препятствие	72
заболевание	проблема	42
заболевание	причина	40
изделие	товар	148
изделие	продукт	54
изделие	продукция	30
призрак	существо	42
красота	ценность	74
человек	существо	810
человек	животное	220
человек	создание	158
человек	раса	148
человек	млекопитающее	104
человек	мелочь	86
человек	образ	76
человек	наука	70
человек	система	50
человек	тварь	46
человек	ценность	46
человек	положение	36
человек	хищник	36
человек	цель	32
сегодня	погода	308
сегодня	случай	236
сегодня	жар	84
сегодня	ситуация	68
сегодня	ветер	48
сегодня	дело	46
сегодня	встреча	46
сегодня	положение	42
сегодня	опасность	42
сегодня	событие	34
сегодня	страх	34
сегодня	количество	34
сегодня	разговор	30
сегодня	сцена	30
открытие	событие	30
дракон	существо	174
дракон	животное	86
дракон	создание	52
дракон	зверь	34
дракон	тварь	30
истина	ценность	62
торговец	человек	44
славянин	народ	122
запах	мелочь	52
запах	свойство	40
запах	ощущение	38
собака	животное	874
собака	млекопитающее	72
собака	существо	68
собака	живность	60
собака	зверь	38
собака	хищник	30
секира	оружие	60
комета	тело	68
роза	цвет	310
роза	растение	156
углевод	вещество	180
встреча	мероприятие	76
злак	продукт	60
злак	растение	40
климат	условие	40
горючее	груз	82
горючее	материал	42
дом	постройка	68
дом	заведение	58
дом	строение	52
дом	сооружение	46
дом	учреждение	40
дом	здание	36
травма	заболевание	42
травма	причина	36
волк	животное	366
волк	зверь	254
волк	хищник	202
знание	наука	80
аппарат	орган	32
дедушка	родственник	136
дедушка	человек	40
картина	искусство	72
прибор	оборудование	46
жук	насекомое	170
родственник	человек	58
путь	заболевание	30
отвращение	эмоция	90
отвращение	чувство	50
ученый	специалист	88
ученый	человек	62
ученый	наука	30
акция	бумага	254
буква	знак	46
баня	постройка	76
необходимость	мелочь	50
необходимость	проблема	38
голос	звук	44
орден	награда	42
демон	существо	100
демон	создание	48
были	причина	122
были	человек	100
были	случай	48
были	проблема	48
были	образ	44
были	мелочь	32
были	женщина	32
были	сила	30
тело	механизм	30
жадность	чувство	98
жадность	эмоция	54
кольцо	украшение	200
кольцо	мелочь	70
кольцо	изделие	54
кольцо	драгоценность	52
кольцо	ценность	40
кольцо	безделушка	38
инструкция	документ	112
смех	звук	44
политик	человек	30
женщина	существо	104
женщина	человек	52
женщина	животное	32
женщина	создание	32
гигиена	наука	50
монета	ценность	34
доктор	человек	152
тракт	орган	72
философия	наука	810
философия	дисциплина	130
философия	материя	34
положение	обстоятельство	60
положение	документ	32
сосуд	орган	114
старик	человек	38
торговля	дело	72
торговля	занятие	32
фотография	материал	122
фотография	документ	44
фотография	информация	34
мужчина	существо	46
мужчина	животное	36
рана	повреждение	46
сон	мелочь	64
сон	потребность	44
сон	занятие	38
домашний	животное	30
уважение	чувство	72
уважение	ценность	38
ходьба	действие	62
ходьба	упражнение	34
фобия	симптом	32
гормон	вещество	208
гормон	препарат	42
гормон	соединение	34
салат	блюдо	106
салат	продукт	30
книга	материал	108
книга	документ	84
книга	товар	74
книга	издание	62
книга	источник	56
книга	продукция	34
сустав	орган	88
сустав	ткань	36
норма	документ	88
удар	прием	42
удар	действие	34
алмаз	камень	206
алмаз	ископаемое	46
алмаз	драгоценность	36
советник	специалист	32
машина	техника	138
машина	оборудование	82
машина	товар	82
машина	изделие	32
машина	до	32
врач	специалист	266
врач	профессия	108
врач	человек	96
врач	работник	70
инфекция	заболевание	50
разница	мелочь	30
кризис	событие	40
антилопа	животное	198
транспорт	услуга	32
купец	человек	56
прокуратура	орган	60
ужас	эмоция	34
ужас	чувство	34
культура	наука	44
вера	ценность	42
механик	наука	174
механик	специалист	82
станок	оборудование	126
книжка	документ	46
нож	оружие	204
нож	орудие	112
нож	мелочь	76
нож	товар	64
нож	утварь	50
нож	изделие	46
нож	принадлежность	34
нос	орган	44
восприятие	процесс	94
зуб	орган	42
лавка	заведение	64
папа	человек	98
зубр	животное	44
любовь	чувство	1518
любовь	эмоция	240
любовь	слово	172
любовь	ценность	152
любовь	дело	110
любовь	страсть	54
любовь	материя	54
любовь	наука	42
любовь	свойство	42
любовь	потребность	36
любовь	переживание	32
любовь	мелочь	32
любовь	причина	30
еда	мелочь	104
еда	потребность	62
еда	дело	42
еда	занятие	42
свет	энергия	40
свет	излучение	36
геометрия	наука	232
геометрия	дисциплина	62
пряность	товар	50
луна	тело	64
луна	звезда	36
дерево	материал	324
дерево	растение	206
дерево	растительность	64
дерево	препятствие	36
вертолет	техника	50
вертолет	аппарат	30
драгоценность	товар	34
общество	организация	106
общество	система	64
общество	объединение	34
одежда	товар	270
одежда	мелочь	264
одежда	необходимость	68
одежда	изделие	64
одежда	принадлежность	36
одежда	продукт	36
одежда	снаряжение	32
одежда	потребность	30
сложение	операция	40
сложение	действие	38
государство	институт	114
государство	организация	52
телефон	устройство	160
телефон	изобретение	50
брат	родственник	430
брат	человек	48
компьютер	устройство	146
компьютер	оборудование	58
компьютер	техника	50
компьютер	изобретение	38
компьютер	аппаратура	32
компьютер	прибор	32
ферма	предприятие	30
перстень	украшение	44
германец	народ	94
сладость	продукт	42
плод	продукт	30
структура	характеристика	38
жажда	чувство	46
система	орган	206
слух	чувство	160
поэт	человек	68
сооружение	ценность	36
витамин	вещество	746
витамин	соединение	52
красный	цвет	58
продукт	товар	56
отношение	дело	30
колесо	изобретение	50
страх	эмоция	944
страх	чувство	714
страх	реакция	76
страх	переживание	74
страх	симптом	60
страх	ощущение	40
страх	страсть	40
опухоль	заболевание	94
обезьяна	животное	280
обезьяна	зверь	38
обезьяна	млекопитающее	38
размер	характеристика	88
размер	свойство	36
клуб	заведение	98
клуб	учреждение	68
клуб	организация	58
ли	человек	36
ткань	товар	254
ткань	материал	204
ткань	изделие	52
ткань	ценность	36
мать	родственник	166
мать	человек	96
мать	женщина	80
чувство	мелочь	40
история	наука	814
история	дисциплина	194
черный	цвет	44
кровь	орган	38
кровь	красный	34
кровь	ткань	34
кровь	материал	30
правило	документ	90
звезда	тело	126
звезда	животное	44
звезда	фигура	36
звезда	девушка	32
топор	оружие	190
топор	орудие	138
топор	изделие	38
посуда	товар	82
посуда	утварь	58
посуда	мелочь	34
посуда	изделие	32
игрушка	товар	44
дядя	родственник	120
дядя	человек	34
установка	техника	40
установка	оборудование	32
спорт	занятие	36
организация	дело	36
артиллерия	техника	164
артиллерия	оружие	64
артиллерия	снаряжение	32
математик	наука	202
математик	дисциплина	32
математик	ученый	32
математик	специалист	30
холодный	оружие	32
язва	заболевание	188
язва	болезнь	152
житель	человек	32
воровство	грех	68
воровство	дело	46
воровство	поступок	38
воровство	действие	36
честолюбие	страсть	48
грех	слово	34
гордость	чувство	144
гордость	страсть	86
гордость	эмоция	38
гордость	грех	30
к	чувство	186
к	любовь	54
к	влечение	42
лопух	растение	38
шакал	животное	42
шакал	хищник	36
минерал	вещество	154
ребенок	родственник	212
ребенок	человек	100
ребенок	существо	38
змея	животное	232
змея	существо	94
змея	тварь	90
змея	пресмыкаться	42
змея	зверь	30
змея	рептилия	30
магия	наука	224
магия	дело	54
канал	сооружение	48
здание	сооружение	94
здание	ценность	46
здание	строение	34
карта	документ	100
карта	игра	78
карта	информация	40
карта	пособие	38
карта	бумага	36
карта	материал	34
автор	человек	40
фермент	вещество	170
священник	человек	66
технология	наука	42
танец	искусство	72
танец	занятие	70
танец	мероприятие	34
кардинал	человек	36
катастрофа	событие	60
катастрофа	ситуация	40
шар	фигура	32
форма	свойство	78
форма	характеристика	62
форма	изделие	30
масса	характеристика	64
масса	величина	54
масса	свойство	52
болезнь	причина	172
болезнь	несчастье	64
болезнь	проблема	50
болезнь	заболевание	44
болезнь	событие	38
завод	предприятие	278
указ	документ	30
труд	издание	30
друг	человек	88
угроза	метод	38
угроза	способ	38
страсть	чувство	60
страсть	эмоция	52
страсть	наука	44
дело	наука	332
дело	дисциплина	34
дело	ремесло	32
линия	сооружение	32
линия	фигура	30
рост	примета	48
рост	характеристика	36
техника	груз	94
техника	специалист	78
техника	наука	46
техника	товар	34
психотерапия	метод	30
сухарь	продукт	36
сила	свойство	50
сила	наука	46
сила	характеристика	40
сила	мелочь	30
отчаяние	чувство	72
отчаяние	эмоция	54
анализ	метод	50
анализ	операция	32
баран	животное	60
костюм	одежда	36
уже	образ	104
уже	чувство	32
уже	мелочь	30
звук	ощущение	36
планета	тело	158
капуста	продукт	126
капуста	культура	104
капуста	растение	48
негр	народ	36
лук	оружие	178
лук	продукт	122
лук	растение	86
лук	пряность	46
лук	культура	32
лук	специя	30
грабеж	действие	46
грабеж	дело	32
бог	существо	82
бой	дело	40
