MeaningId	Top5
автомобиль.1	джип, грузовик, фургон, автобус, лимузин
автор.1	издатель, писатель, переводчик, поэт, художник
автор.2	сборник, сборники, серия, цикл, подборка
автор.3	создатель, создателя, основатель, владелец, инициатор
автор.4	составитель, автора, автором, автору, авторы
автор.5	герой, героиня, персонаж, экранизация, герои
автор.6	написание, писание, опубликование, черновик, чтение
автор.7	Геродот, рецензент, Плутарх, евангелист, Полибий
автор.8	сочинитель, начитавшись, сочинители, начитавшийся, сочинителя
акцент.1	выговор, диалект, говор, манер, писатель
акцент.2	упор, ударение, ставку, акценты, скидку
акцент.3	нажим, загар, намек, надрез, отпечаток
акция.1	операция, кампания, диверсия, провокация, вылазка
аллергия.1	антипатия, идиосинкразия, тяга, склонность, неприязнь
аллергия.2	астма, депрессия, мигрень, экзема, изжога
аллергия.3	гангрена, пародия, мода, истерика, конкуренция
алмаз.1	бриллиант, рубин, изумруд, сапфир, камень
амулет.1	костюм, респиратор, кольцо, комбез, скафандр
амулет.2	медальон, талисман, артефакт, кулон, браслет
анализ.1	переливание, заражение, переливания, лужа, пролитие
анализ.2	анализы, разбор, осмотр, тест, характер
англичанин.1	американец, джентльмен, шотландец, ирландец, француз
антибиотик.1	антибиотики, обезболивающее, снотворное, антидот, пенициллин
антибиотик.2	белок, крахмал, холестерин, пигмент, каучук
антибиотик.3	препарат, стимулятор, краситель, растворитель, антидепрессант
антилопа.1	птица, лань, кошка, куропатка, птичка
аппарат.1	орган, центр, деятель, архив, инструментарий
аппарат.2	прибор, компьютер, агрегат, механизм, терминал
аппаратура.1	техника, электроника, радиостанция, система, лаборатория
аппетит.1	иммунитет, нюх, голод, самоконтроль, работоспособность
аппетит.2	костер, огонь, камин, примус, очаг
армия.1	эскадра, пехота, дивизия, кавалерия, дипломатия
артиллерия.1	пехота, авиация, батарея, армия, пушка
артист.1	актер, художник, писатель, поэт, режиссер
артист.2	артистка, артисткой, актриса, Артист, прима
астма.1	подагра, мигрень, аллергия, бессонница, депрессия
бабка.1	бабушка, матушка, мама, мать, сестра
бабка.2	тетка, старуха, старушка, баба, соседка
бабка.3	Маша, Юлька, Ирка, Лола, Верка
бабушка.1	мама, мать, сестра, матушка, бабка
бабушка.2	Наташа, она, Настя, Надя, Маша
бактерия.1	инфекция, пылинка, вещь, штука, субстанция
баня.1	культура, армия, пословица, литература, мафия
баня.2	банька, сауна, кухня, печка, конюшня
баран.1	козел, осел, болван, бык, идиот
баран.2	обвал, кряж, хребет, перевал, хрусталь
бедность.1	нищета, нищету, несправедливость, нужда, скука
бедро.1	плечо, колено, запястье, предплечье, голень
бедро.2	плечико, крыло, тело, ухо, ребро
белье.1	пеленки, простыни, портянки, носки, подгузники
белье.2	халатике, халате, исподнем, пеньюаре, фартуке
белье.3	Поволжье, ярусе, регистре, течении, ящике
белье.4	бельишко, исподнее, платье, полотенце, покрывало
библиотека.1	кухня, больница, лаборатория, школа, коллекция
бизнес.1	капитал, проект, рынок, бизнесмен, предприниматель
бизнес.2	ИТ, научно, военно, социально, интернет
биография.1	карьера, автобиография, обстановка, история, личность
блюдо.1	кушанье, лакомство, изделие, развлечение, украшение
блюдо.2	рагу, жаркое, печенье, суфле, пирожное
блюдо.3	блюдце, блюдечко, ведерко, кольцо, ожерелье
блюдо.4	тарелку, поднос, миску, вазу, кувшин
бог.1	угадаю, досказать, закурить, порулить, догадаюсь
бог.2	черт, чорт, леший, дьявол, ситх
бог.3	сподобил, наказывает, уберег, карает, покарал
бог.4	благую, Благую, радостную, недобрую, дурную
бог.5	пантеон, культ, храм, божок, миф
бог.6	Бог, аллах, боже, господь, Аллах
бог.7	бога, богу, богиней, богине, богини
бог.8	повелитель, владыка, мудрец, властитель, правитель
бог.9	богиня, символ, божество, олицетворение, богиню
бог.10	радостная, благая, Благая, недобрая, горестная
богатство.1	сокровище, счастье, могущество, достояние, предназначение
бой.1	поединок, спор, разговор, матч, диалог
бой.2	сражение, битву, борьбу, войну, схватку
болезнь.1	слабость, усталость, лихорадку, травму, депрессию
болезнь.2	хворь, патология, травма, инфекция, лихорадка
борьба.1	схватка, битва, грызня, война, вражда
ботаник.1	ученый, физик, математик, физиолог, историк
брат.1	отец, сын, муж, братец, племянник
бренди.1	коньяк, вино, шампанское, пиво, чай
бренди.2	виски, вина, коньяку, коньяка, мартини
бриллиант.1	алмаз, рубин, изумруд, сапфир, брильянт
буква.1	строка, строчка, строфа, страница, ступенька
бумага.1	бумажка, солома, тряпка, одежда, пленка
были.1	кои, которые, каковые, которыя, кото­рые
были.2	оба, хорошо, твердо, всегда, давно
были.3	имелись, имеются, есть, найдутся, нашлись
были.4	единственные, такие, хорошие, живые, настоящие
были.5	будут, оказались, бы­ли, оставались, стали
были.6	появились, появятся, возникли, возникнут, появлялись
были.7	возлагали, возлагаются, возлагают, возлагались, возложены
были.8	делают, сделали, делали, проделывают, знают
быть.1	оказаться, получиться, произойти, существовать, случиться
валюта.1	экономика, буржуазия, культура, пресса, держава
вампир.1	оборотень, демон, эльф, воин, маг
вампир.2	балл, пилотаж, судия, класс, вампиризм
вампир.3	вурдалак, монстр, маньяк, упырь, ублюдок
ванна.1	раковина, пепельница, вода, чаша, миска
вдова.1	женщина, вдовушка, жена, дама, девушка
величина.1	цифра, сумма, субстанция, высота, константа
вера.1	религия, потребность, молитва, церковь, дружба
вера.2	убежденность, уверенность, любовь, влюбленность, заинтересованность
вертолет.1	вертолеты, подкрепление, вертушку, подмогу, опергруппу
вертолет.2	самолет, корабль, флаер, челнок, флайер
