Word	Meaning	Top5
автомобиль	автомобиль.1	джип, грузовик, фургон, автобус, лимузин
автор	автор.1	издатель, писатель, переводчик, поэт, художник
автор	автор.2	сборник, сборники, серия, цикл, подборка
автор	автор.3	создатель, создателя, основатель, владелец, инициатор
автор	автор.4	составитель, автора, автором, автору, авторы
автор	автор.5	герой, героиня, персонаж, экранизация, герои
автор	автор.6	написание, писание, опубликование, черновик, чтение
автор	автор.7	Геродот, рецензент, Плутарх, евангелист, Полибий
автор	автор.8	сочинитель, начитавшись, сочинители, начитавшийся, сочинителя
акцент	акцент.1	выговор, диалект, говор, манер, писатель
акцент	акцент.2	упор, ударение, ставку, акценты, скидку
акцент	акцент.3	нажим, загар, намек, надрез, отпечаток
акция	акция.1	операция, кампания, диверсия, провокация, вылазка
аллергия	аллергия.1	антипатия, идиосинкразия, тяга, склонность, неприязнь
аллергия	аллергия.2	астма, депрессия, мигрень, экзема, изжога
аллергия	аллергия.3	гангрена, пародия, мода, истерика, конкуренция
алмаз	алмаз.1	бриллиант, рубин, изумруд, сапфир, камень
амулет	амулет.1	костюм, респиратор, кольцо, комбез, скафандр
амулет	амулет.2	медальон, талисман, артефакт, кулон, браслет
анализ	анализ.1	переливание, заражение, переливания, лужа, пролитие
анализ	анализ.2	анализы, разбор, осмотр, тест, характер
англичанин	англичанин.1	американец, джентльмен, шотландец, ирландец, француз
антибиотик	антибиотик.1	антибиотики, обезболивающее, снотворное, антидот, пенициллин
антибиотик	антибиотик.2	белок, крахмал, холестерин, пигмент, каучук
антибиотик	антибиотик.3	препарат, стимулятор, краситель, растворитель, антидепрессант
антилопа	антилопа.1	птица, лань, кошка, куропатка, птичка
аппарат	аппарат.1	орган, центр, деятель, архив, инструментарий
аппарат	аппарат.2	прибор, компьютер, агрегат, механизм, терминал
аппаратура	аппаратура.1	техника, электроника, радиостанция, система, лаборатория
аппетит	аппетит.1	иммунитет, нюх, голод, самоконтроль, работоспособность
аппетит	аппетит.2	костер, огонь, камин, примус, очаг
армия	армия.1	эскадра, пехота, дивизия, кавалерия, дипломатия
артиллерия	артиллерия.1	пехота, авиация, батарея, армия, пушка
артист	артист.1	актер, художник, писатель, поэт, режиссер
артист	артист.2	артистка, артисткой, актриса, Артист, прима
астма	астма.1	подагра, мигрень, аллергия, бессонница, депрессия
бабка	бабка.1	бабушка, матушка, мама, мать, сестра
бабка	бабка.2	тетка, старуха, старушка, баба, соседка
бабка	бабка.3	Маша, Юлька, Ирка, Лола, Верка
бабушка	бабушка.1	мама, мать, сестра, матушка, бабка
бабушка	бабушка.2	Наташа, она, Настя, Надя, Маша
бактерия	бактерия.1	инфекция, пылинка, вещь, штука, субстанция
баня	баня.1	культура, армия, пословица, литература, мафия
баня	баня.2	банька, сауна, кухня, печка, конюшня
баран	баран.1	козел, осел, болван, бык, идиот
баран	баран.2	обвал, кряж, хребет, перевал, хрусталь
бедность	бедность.1	нищета, нищету, несправедливость, нужда, скука
бедро	бедро.1	плечо, колено, запястье, предплечье, голень
бедро	бедро.2	плечико, крыло, тело, ухо, ребро
белье	белье.1	пеленки, простыни, портянки, носки, подгузники
белье	белье.2	халатике, халате, исподнем, пеньюаре, фартуке
белье	белье.3	Поволжье, ярусе, регистре, течении, ящике
белье	белье.4	бельишко, исподнее, платье, полотенце, покрывало
библиотека	библиотека.1	кухня, больница, лаборатория, школа, коллекция
бизнес	бизнес.1	капитал, проект, рынок, бизнесмен, предприниматель
бизнес	бизнес.2	ИТ, научно, военно, социально, интернет
биография	биография.1	карьера, автобиография, обстановка, история, личность
блюдо	блюдо.1	кушанье, лакомство, изделие, развлечение, украшение
блюдо	блюдо.2	рагу, жаркое, печенье, суфле, пирожное
блюдо	блюдо.3	блюдце, блюдечко, ведерко, кольцо, ожерелье
блюдо	блюдо.4	тарелку, поднос, миску, вазу, кувшин
бог	бог.1	угадаю, досказать, закурить, порулить, догадаюсь
бог	бог.2	черт, чорт, леший, дьявол, ситх
бог	бог.3	сподобил, наказывает, уберег, карает, покарал
бог	бог.4	благую, Благую, радостную, недобрую, дурную
бог	бог.5	пантеон, культ, храм, божок, миф
бог	бог.6	Бог, аллах, боже, господь, Аллах
бог	бог.7	бога, богу, богиней, богине, богини
бог	бог.8	повелитель, владыка, мудрец, властитель, правитель
бог	бог.9	богиня, символ, божество, олицетворение, богиню
бог	бог.10	радостная, благая, Благая, недобрая, горестная
богатство	богатство.1	сокровище, счастье, могущество, достояние, предназначение
бой	бой.1	поединок, спор, разговор, матч, диалог
бой	бой.2	сражение, битву, борьбу, войну, схватку
болезнь	болезнь.1	слабость, усталость, лихорадку, травму, депрессию
болезнь	болезнь.2	хворь, патология, травма, инфекция, лихорадка
борьба	борьба.1	схватка, битва, грызня, война, вражда
ботаник	ботаник.1	ученый, физик, математик, физиолог, историк
брат	брат.1	отец, сын, муж, братец, племянник
бренди	бренди.1	коньяк, вино, шампанское, пиво, чай
бренди	бренди.2	виски, вина, коньяку, коньяка, мартини
бриллиант	бриллиант.1	алмаз, рубин, изумруд, сапфир, брильянт
